Transaction_ID,Transaction_Date,Transaction_Time,Customer_ID,Customer_Name,Customer_Email,Customer_Age_Group,Customer_Gender,Customer_Type,Lifetime_Orders,Shipping_State,Shipping_State_Name,Shipping_City,Shipping_Zip,Product_SKU,Product_Name,Product_Category,Product_Brand,Product_Rating,Product_Reviews,Quantity,Original_Price,Discount_Percent,Unit_Price,Subtotal,Tax_Rate_Percent,Tax_Amount,Shipping_Cost,Total_Amount,Cost_Per_Unit,Total_Cost,Gross_Profit,Profit_Margin_Percent,Payment_Method,Payment_Status,Order_Status,Shipping_Method,Shipping_Carrier,Delivery_Days_Estimated,Delivery_Days_Actual,On_Time_Delivery,Device_Type,Browser,Operating_System,Traffic_Source,Campaign_Name,Coupon_Code,Is_Gift,Warehouse_Location,Return_Requested,Return_Reason,Customer_Rating,Review_Submitted,NPS_Score,Session_Duration_Seconds,Pages_Viewed,Cart_Abandonment_Count,Days_Since_Last_Purchase,Fiscal_Quarter,Fiscal_Year,Day_Of_Week,Is_Weekend,Hour_Of_Day
TXN-1000000,2023-12-02,15:11:01,C533513,Brandon Jimenez,brandon_jimenez44@yahoo.com,25-34,Other,VIP,32,AZ,Arizona,Houston,31504,SKU52594,Vitamix A3500,Home & Kitchen,Vitamix,5.0,1541,2,649.95,0,649.95,1299.9,9.54,124.03,0.0,1423.93,337.01,674.02,749.91,52.66,Klarna,Completed,Cancelled,Next Day,Amazon Logistics,6,8,True,Tablet,Firefox,Android,Direct,Loyalty Rewards Event,,False,Central DC,False,,,True,7.0,500,10,3,107,Q4,2023,Saturday,True,8
TXN-1000001,2023-04-08,11:20:46,C248629,Christine Davis,cdavis60@gmail.com,65+,Female,VIP,49,NJ,New Jersey,San Jose,39691,SKU81029,Garmin Fenix 7,Sports & Outdoors,Garmin,4.9,4582,1,699.99,5,664.99,664.99,9.87,65.65,0.0,730.64,458.93,458.93,271.71,37.19,Visa,Completed,Processing,Standard Shipping,DHL,4,3,True,Desktop,Edge,macOS,Organic Search,Spring Collection Launch,SAVE5,True,Southern DC,False,,2.0,False,2.0,1032,6,3,147,Q2,2023,Saturday,True,12
TXN-1000002,2023-01-23,14:17:55,C444775,Emily Lee,emily_lee92@icloud.com,45-54,Male,VIP,5,OH,Ohio,Atlanta,46369,SKU81540,Apple Watch Series 9,Electronics,Apple,3.6,2338,3,399.0,10,359.1,1077.3,5.89,63.43,0.0,1140.73,238.15,714.45,426.28,37.37,Visa,Completed,Returned,Next Day,USPS,5,2,True,Mobile,Safari,macOS,Referral,,SAVE10,False,Southern DC,False,,2.0,False,2.0,1194,15,2,36,Q1,2023,Monday,False,12
TXN-1000003,2023-07-20,17:09:09,C226617,Carolyn Peterson,carolynpeterson22@yahoo.com,65+,Male,VIP,28,IL,Illinois,Atlanta,45998,SKU12732,Levi's 501 Original Jeans,Fashion,Levi's,3.9,1323,1,69.5,10,62.55,62.55,7.69,4.81,0.0,67.36,41.15,41.15,26.21,38.91,Apple Pay,Completed,Delivered,Standard Shipping,FedEx,3,3,True,Desktop,Safari,macOS,Organic Search,,SAVE10,True,Southern DC,True,,3.0,False,2.0,725,17,0,47,Q3,2023,Thursday,False,23
TXN-1000004,2023-11-06,15:31:33,C572928,Brenda Parker,bparker34@yahoo.com,35-44,Other,Returning,40,TX,Texas,Los Angeles,89466,SKU75989,iRobot Roomba j9+,Home & Kitchen,iRobot,4.1,4927,1,899.0,0,899.0,899.0,6.72,60.37,0.0,959.37,578.71,578.71,380.66,39.68,Mastercard,Completed,Delivered,Next Day,Amazon Logistics,7,2,True,Mobile,Edge,iOS,Referral,Spring Collection Launch,,False,West Coast DC,True,,,False,,776,15,1,176,Q4,2023,Monday,False,17
TXN-1000005,2023-10-12,20:01:45,C489723,Nancy Garcia,nancygarcia14@hotmail.com,25-34,Female,VIP,10,TX,Texas,Chicago,75830,SKU80816,Breville Barista Express,Home & Kitchen,Breville,4.9,1053,3,749.95,0,749.95,2249.85,5.52,124.23,0.0,2374.08,443.04,1329.12,1044.96,44.02,Visa,Completed,Delivered,Next Day,USPS,5,10,False,Mobile,Chrome,macOS,Social Media,,,False,East Coast DC,False,,2.0,False,,739,8,0,146,Q4,2023,Thursday,False,15
TXN-1000006,2023-09-14,20:56:37,C372714,Jack Cook,jackc3@hotmail.com,45-54,Other,New,35,GA,Georgia,Boston,90214,SKU55143,Patagonia Better Sweater,Fashion,Patagonia,5.0,1930,1,139.0,0,139.0,139.0,8.91,12.38,0.0,151.38,84.02,84.02,67.36,44.5,Visa,Completed,Shipped,2-Day Shipping,UPS,4,2,True,Mobile,Firefox,iOS,Email,Bundle & Save,,False,West Coast DC,False,,1.0,True,,268,16,0,15,Q3,2023,Thursday,False,10
TXN-1000007,2023-07-24,21:11:35,C734129,Jacob Miller,jacob_miller19@yahoo.com,35-44,Female,Returning,9,MI,Michigan,Miami,34248,SKU55656,Callaway Paradym Irons,Sports & Outdoors,Callaway,4.7,463,2,1399.99,0,1399.99,2799.98,5.17,144.74,0.0,2944.72,974.99,1949.98,994.74,33.78,Apple Pay,Pending,Shipped,Express Shipping,USPS,6,4,False,Desktop,Safari,Android,Referral,,,True,Southern DC,False,,,False,,878,10,1,113,Q3,2023,Monday,False,23
TXN-1000008,2023-03-16,09:47:54,C380276,Jessica White,jwhite98@protonmail.com,35-44,Male,VIP,16,MO,Missouri,Atlanta,86731,SKU56019,Dyson V15 Detect Vacuum,Home & Kitchen,Dyson,3.7,116,1,749.99,0,749.99,749.99,7.04,52.8,0.0,802.79,501.42,501.42,301.37,37.54,Mastercard,Completed,Shipped,2-Day Shipping,DHL,6,2,True,Mobile,Edge,Windows,Direct,Limited Time Offer,,False,Central DC,False,,,False,,404,15,1,33,Q1,2023,Thursday,False,7
TXN-1000009,2023-11-28,10:05:34,C349901,Jerry Price,jprice74@outlook.com,45-54,Male,VIP,2,WA,Washington,Miami,97586,SKU15657,Ninja Foodi 14-in-1,Home & Kitchen,Ninja,3.9,4428,1,229.99,0,229.99,229.99,6.09,14.0,0.0,243.99,146.43,146.43,97.56,39.99,PayPal,Completed,Returned,Express Shipping,FedEx,2,8,True,Tablet,Chrome,Android,Referral,Loyalty Rewards Event,,False,Southern DC,False,,5.0,True,6.0,114,16,3,153,Q4,2023,Tuesday,False,17
